date,message
2022-03-02T00:00:00,Fix wallet mock
2022-03-07T00:00:00,Improve API schema test
2022-03-10T00:00:00,Add L2 support structure
2022-03-11T00:00:00,Remove RPC config security
2022-03-11T00:00:00,Add handler docs
2022-03-14T00:00:00,Refactor handler logic
2022-03-14T00:00:00,Integrate L2 support structure
2022-03-15T00:00:00,Remove token swap docs
2022-03-21T00:00:00,Update handler docs
2022-03-25T00:00:00,Refactor L2 support mock
2022-03-28T00:00:00,Add L2 support security
2022-03-28T00:00:00,Refactor token swap test
2022-03-31T00:00:00,Update L2 support mock
2022-03-31T00:00:00,Integrate handler logic
2022-03-31T00:00:00,Integrate handler mock
2022-04-01T00:00:00,Add wallet flow
2022-04-01T00:00:00,Integrate token swap docs
2022-04-01T00:00:00,Update wallet security
2022-04-05T00:00:00,Improve UI placeholder flow
2022-04-06T00:00:00,Improve UI placeholder logic
2022-04-07T00:00:00,Update L2 support docs
2022-04-13T00:00:00,Refactor UI placeholder structure
2022-04-13T00:00:00,Integrate wallet flow
2022-04-14T00:00:00,Update UI placeholder test
2022-04-14T00:00:00,Add RPC config logic
2022-04-19T00:00:00,Improve L2 support test
2022-04-29T00:00:00,Add token swap security
2022-04-29T00:00:00,Refactor UI placeholder docs
2022-04-29T00:00:00,Add token swap docs
2022-05-03T00:00:00,Remove UI placeholder test
2022-05-03T00:00:00,Integrate token swap security
2022-05-10T00:00:00,Refactor token swap docs
2022-05-17T00:00:00,Integrate L2 support structure
2022-05-19T00:00:00,Fix token swap security
2022-05-19T00:00:00,Update handler docs
2022-05-20T00:00:00,Remove UI placeholder security
2022-05-27T00:00:00,Fix RPC config logic
2022-05-27T00:00:00,Update RPC config structure
2022-05-27T00:00:00,Fix token swap docs
2022-05-30T00:00:00,Fix RPC config logic
2022-05-30T00:00:00,Remove RPC config test
2022-05-30T00:00:00,Integrate token swap test
2022-05-31T00:00:00,Refactor UI placeholder mock
2022-06-02T00:00:00,Add handler flow
2022-06-06T00:00:00,Remove API schema docs
2022-06-08T00:00:00,Integrate API schema mock
2022-06-09T00:00:00,Add handler flow
2022-06-09T00:00:00,Update UI placeholder structure
2022-06-20T00:00:00,Remove API schema test
2022-06-21T00:00:00,Update API schema test
2022-06-22T00:00:00,Fix wallet mock
2022-06-23T00:00:00,Fix handler flow
2022-06-24T00:00:00,Remove RPC config docs
2022-06-27T00:00:00,Remove token swap mock
2022-07-01T00:00:00,Integrate wallet security
2022-07-04T00:00:00,Integrate handler logic
2022-07-04T00:00:00,Update UI placeholder docs
2022-07-06T00:00:00,Fix token swap flow
2022-07-07T00:00:00,Refactor handler mock
2022-07-07T00:00:00,Fix handler docs
2022-07-12T00:00:00,Update UI placeholder mock
2022-07-14T00:00:00,Fix UI placeholder mock
2022-07-14T00:00:00,Integrate RPC config flow
2022-07-15T00:00:00,Improve RPC config test
2022-07-18T00:00:00,Add L2 support structure
2022-07-18T00:00:00,Integrate token swap mock
2022-07-28T00:00:00,Fix handler flow
2022-08-02T00:00:00,Fix L2 support test
2022-08-03T00:00:00,Improve handler security
2022-08-04T00:00:00,Update API schema logic
2022-08-05T00:00:00,Add RPC config security
2022-08-08T00:00:00,Refactor UI placeholder test
2022-08-09T00:00:00,Improve L2 support structure
2022-08-10T00:00:00,Improve wallet structure
2022-08-10T00:00:00,Improve token swap logic
2022-08-11T00:00:00,Add wallet flow
2022-08-11T00:00:00,Update UI placeholder mock
2022-08-12T00:00:00,Update RPC config logic
2022-08-12T00:00:00,Fix UI placeholder mock
2022-08-15T00:00:00,Integrate handler logic
2022-08-15T00:00:00,Remove API schema logic
2022-08-15T00:00:00,Fix handler structure
